name,description,category,value,type,state,max_attempts,flags,tags,type_data,hints
API-only XSS,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> without using the frontend application at all. (Difficulty Level: 3)",XSS,450,standard,visible,0,f94113c07b6e82fa8ba90369088818711423838a,"Danger Zone,With Coding Challenge",,"[{""content"":""You need to work with the server-side API directly. Try different HTTP verbs on different entities exposed through the API."",""cost"":0},{""content"":""A matrix of known data entities and their supported HTTP verbs through the API can help you here."",""cost"":0},{""content"":""Careless developers might have exposed API methods that the client does not even need."",""cost"":0}]"
Access Log,"Gain access to any access log file of the server. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,ba33e22ac92492931305ea3483a3a0c8210e9ddb,"With Coding Challenge",,"[{""content"":""Who would want a server access log to be accessible through a web application?"",""cost"":0},{""content"":""Normally٬ server log files are written to disk on server side and are not accessible from the outside."",""cost"":0},{""content"":""Which raises the question: Who would want a server access log to be accessible through a web application?"",""cost"":0},{""content"":""One particular file found in the folder you might already have found during the \""\""Access a confidential document\""\"" challenge might give you an idea who is interested in such a public exposure."",""cost"":0},{""content"":""Drilling down one level into the file system might not be sufficient."",""cost"":0}]"
Admin Registration,"Register as a user with administrator privileges. (Difficulty Level: 3)",Improper Input Validation,450,standard,visible,0,adf858a9828123061257cba29e3f34da87b23962,"With Coding Challenge",,"[{""content"":""You have to assign the unassignable."",""cost"":0},{""content"":""Register as an ordinary user to learn what API endpoints are involved in this use case."",""cost"":0},{""content"":""Think of the simplest possible implementations of a distinction between regular users and administrators."",""cost"":0}]"
Admin Section,"Access the administration section of the store. (Difficulty Level: 2)",Broken Access Control,250,standard,visible,0,71aeb3b0bf01cc6e488f0207bb62f79b41454a87,"Good for Demos,With Coding Challenge",,"[{""content"":""It is just slightly harder to find than the score board link."",""cost"":0},{""content"":""Knowing it exists٬ you can simply guess what URL the admin section might have."",""cost"":0},{""content"":""Alternatively٬ you can try to find a reference or clue within the parts of the application that are not usually visible in the browser."",""cost"":0},{""content"":""It is probably just slightly harder to find and gain access to than the score board link."",""cost"":0},{""content"":""There is some access control in place٬ but there are at least three ways to bypass it."",""cost"":0}]"
Arbitrary File Write,"Overwrite the <a href=""/ftp/legal.md"">Legal Information</a> file. (Difficulty Level: 6)",Vulnerable Components,1350,standard,visible,0,7aec1a1f170062a5dc7f9d3502de999df9ff29df,"Danger Zone,Prerequisite",,"[{""content"":""Look out for a tweet praising new functionality of the web shop. Then find a third party vulnerability associated with it."",""cost"":0},{""content"":""Find all places in the application where file uploads are possible."",""cost"":0},{""content"":""For at least one of these٬ the Juice Shop is depending on a library that suffers from an arbitrary file overwrite vulnerability."",""cost"":0},{""content"":""You can find a hint toward the underlying vulnerability in the @owasp_juiceshop Twitter timeline."",""cost"":0}]"
Bjoern's Favorite Pet,"Reset the password of Bjoern's OWASP account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question. (Difficulty Level: 3)",Broken Authentication,450,standard,visible,0,f88dde9f00ed45debda603f5efb317933809dee3,"OSINT,With Coding Challenge",,"[{""content"":""Hints to the answer to Bjoern’s question can be found by looking him up on the Internet."",""cost"":0},{""content"":""More precisely٬ Bjoern might have accidentally (?) doxxed himself by mentioning his security answer on at least one occasion where a camera was running."",""cost"":0},{""content"":""Brute forcing the answer might be very well possible with a sufficiently extensive list of common pet names."",""cost"":0}]"
Blockchain Hype,"Learn about the Token Sale before its official announcement. (Difficulty Level: 5)",Security through Obscurity,1000,standard,visible,0,6f1a6427a4eb7cd7861eec9c75b4bd18ee5b9d9f,"Contraption,Code Analysis,Web3,With Coding Challenge",,"[{""content"":""The developers truly believe in \""\""Security through Obscurity\""\"" over actual access restrictions."",""cost"":0},{""content"":""Guessing or brute forcing the URL of the token sale page is very unlikely to succeed."",""cost"":0},{""content"":""You should closely investigate the place where all paths within the application are defined."",""cost"":0},{""content"":""Beating the employed obfuscation mechanism manually will take some time. Maybe there is an easier way to undo it?"",""cost"":0}]"
NFT Takeover,"Take over the wallet containing our official Soul Bound Token (NFT). (Difficulty Level: 2)",Sensitive Data Exposure,250,standard,visible,0,c481c6d12e5433274d02df151e125a857eb454ca,"Contraption,Good for Demos,Web3,With Coding Challenge",,"[{""content"":""Find the seed phrase posted accidentally."",""cost"":0}]"
Mint the Honey Pot,"Mint the Honey Pot NFT by gathering BEEs from the bee haven. (Difficulty Level: 3)",Improper Input Validation,450,standard,visible,0,dd2ec4fd1d816a5ecc02f97df471db41c7e0aff3,"Web3,Internet Traffic,With Coding Challenge",,"[{""content"":""Discover NFT wonders among the captivating visual memories."",""cost"":0}]"
Wallet Depletion,"Withdraw more ETH from the new wallet than you deposited. (Difficulty Level: 6)",Miscellaneous,1350,standard,visible,0,9417b406261ce961ff8df3565f0c762d92467ee7,"Web3,Internet Traffic,With Coding Challenge",,"[{""content"":""Try to exploit the contract of the wallet."",""cost"":0}]"
